resume_text,job_description,match_score,match_label,match_label_lower,resume_len,jd_len
"Data Analyst with 9 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI, Tableau, Excel. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,29,24
"Business Analyst with 9 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI, Communication, Reporting. Candidate should possess strong communication skills and relevant industry experience.",0.86,high,high,29,24
"Cybersecurity Analyst with 10 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux, SOC, Risk Analysis. Candidate should possess strong communication skills and relevant industry experience.",0.84,high,high,30,25
"Marketing Manager with 1 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.91,high,high,29,24
"HR Specialist with 7 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.81,high,high,29,24
"Backend Developer with 10 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.93,high,high,30,25
"Frontend Developer with 10 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.83,high,high,28,23
"Data Scientist with 1 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.9,high,high,29,24
"Sales Manager with 5 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.95,high,high,28,23
"Marketing Manager with 4 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.93,high,high,29,24
