resume_text,job_description,match_score,match_label
,"Looking for a Business Analyst. Required skills include SQL, Excel, Power BI, Communication, Reporting. Candidate should possess strong communication skills and relevant industry experience.",0.8,high
,"Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Healthcare Analyst with 2 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",,0.9,high
"HR Specialist with 9 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",,0.81,high
"Full Stack Developer with 1 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",,0.8,high
"AI Engineer with 4 years of experience. Skilled in LLMs, Python, NLP, Transformers, Vector DB. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",,0.88,high
"Data Analyst with 9 years of experience. Skilled in Python, SQL, Power BI, Tableau, Excel. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Analyst. Required skills include Python, SQL, Power BI, Tableau, Excel. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Business Analyst with 9 years of experience. Skilled in SQL, Excel, Power BI, Communication, Reporting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Business Analyst. Required skills include SQL, Excel, Power BI, Communication, Reporting. Candidate should possess strong communication skills and relevant industry experience.",0.86,high
"Cybersecurity Analyst with 10 years of experience. Skilled in SIEM, Network Security, Linux, SOC, Risk Analysis. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux, SOC, Risk Analysis. Candidate should possess strong communication skills and relevant industry experience.",0.84,high
"Marketing Manager with 1 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
"ML Engineer with 7 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",99.0,high
"ML Engineer with 4 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",2.3,high
"Frontend Developer with 2 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",1.5,high
"Data Scientist with 6 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",1.2,high
"DevOps Engineer with 5 years of experience. Skilled in Docker, Kubernetes, CI/CD, AWS, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",-0.2,high
"Healthcare Analyst with 8 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",-0.05,high
"HR Specialist with 7 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.81,high
"Backend Developer with 10 years of experience. Skilled in Java, Spring Boot, SQL, REST API, Docker. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Backend Developer. Required skills include Java, Spring Boot, SQL, REST API, Docker. Candidate should possess strong communication skills and relevant industry experience.",0.93,high
"Frontend Developer with 10 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Data Scientist with 1 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.9,high
"Sales Manager with 5 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.95,HIGH
"Marketing Manager with 4 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.93,High
"Full Stack Developer with 5 years of experience. Skilled in React, Node.js, MongoDB, Express, REST API. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.87,MEDIUM
"Marketing Manager with 6 years of experience. Skilled in SEO, Content Marketing, Analytics, Branding, Campaigns. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.82,Low
"Frontend Developer with 4 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.9,high
"Healthcare Analyst with 2 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.89,high
"ML Engineer with 9 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
"ML Engineer with 8 years of experience. Skilled in Python, PyTorch, TensorFlow, Deep Learning, MLOps. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.86,high
"HR Specialist with 9 years of experience. Skilled in Recruitment, Onboarding, Communication, HRMS, Employee Relations. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a HR Specialist. Required skills include Recruitment, Onboarding, Communication, HRMS, Employee Relations. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
"Frontend Developer with 1 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Frontend Developer. Required skills include React, JavaScript, HTML, CSS, Redux. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
Python SQL,"Looking for a Data Analyst. Required skills include Python, SQL, Power BI, Tableau, Excel. Candidate should possess strong communication skills and relevant industry experience.",0.86,high
Python SQL,"Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.94,high
Python SQL,"Looking for a DevOps Engineer. Required skills include Docker, Kubernetes, CI/CD, AWS, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.83,high
Python SQL,"Looking for a Cybersecurity Analyst. Required skills include SIEM, Network Security, Linux, SOC, Risk Analysis. Candidate should possess strong communication skills and relevant industry experience.",0.93,high
Python SQL,"Looking for a Business Analyst. Required skills include SQL, Excel, Power BI, Communication, Reporting. Candidate should possess strong communication skills and relevant industry experience.",0.82,high
Python SQL,"Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
Python SQL,"Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
Python SQL,"Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.86,high
Python SQL,"Looking for a AI Engineer. Required skills include LLMs, Python, NLP, Transformers, Vector DB. Candidate should possess strong communication skills and relevant industry experience.",0.88,high
Python SQL,"Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.93,high
Python SQL,"Looking for a ML Engineer. Required skills include Python, PyTorch, TensorFlow, Deep Learning, MLOps. Candidate should possess strong communication skills and relevant industry experience.",0.92,high
Python SQL,"Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.81,high
Python SQL,"Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.95,high
Python SQL,"Looking for a Cloud Engineer. Required skills include AWS, Docker, Kubernetes, Terraform, Linux. Candidate should possess strong communication skills and relevant industry experience.",0.95,high
Python SQL,"Looking for a Marketing Manager. Required skills include SEO, Content Marketing, Analytics, Branding, Campaigns. Candidate should possess strong communication skills and relevant industry experience.",0.9,high
Python SQL,"Looking for a Data Scientist. Required skills include Python, Machine Learning, Pandas, NumPy, TensorFlow. Candidate should possess strong communication skills and relevant industry experience.",0.91,high
Python SQL,"Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.82,high
Python SQL,"Looking for a Full Stack Developer. Required skills include React, Node.js, MongoDB, Express, REST API. Candidate should possess strong communication skills and relevant industry experience.",0.87,high
"Healthcare Analyst with 5 years of experience. Skilled in Healthcare Data, Excel, SQL, Reporting, Statistics. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Healthcare Analyst. Required skills include Healthcare Data, Excel, SQL, Reporting, Statistics. Candidate should possess strong communication skills and relevant industry experience.",0.95,high
"Sales Manager with 3 years of experience. Skilled in CRM, Sales, Leadership, Negotiation, Forecasting. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.","Looking for a Sales Manager. Required skills include CRM, Sales, Leadership, Negotiation, Forecasting. Candidate should possess strong communication skills and relevant industry experience.",0.88,high
"Data Scientist with 5 years of experience. Skilled in Python, Machine Learning, Pandas, NumPy, TensorFlow. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.93,high
"Cloud Engineer with 10 years of experience. Skilled in AWS, Docker, Kubernetes, Terraform, Linux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.83,high
"Frontend Developer with 3 years of experience. Skilled in React, JavaScript, HTML, CSS, Redux. Delivered multiple successful projects and collaborated with teams. Strong problem solving and analytical skills.",Need developer,0.88,high
